66	-0.8	-1	-87.47	177.47
67	-0.79	-0.98	-79.39	169.39
68	-0.77	-0.97	-75.19	165.19
69	-0.76	-0.95	-71.93	161.93
70	-0.75	-0.93	-69.16	159.16
71	-0.73	-0.92	-66.7	156.7
72	-0.72	-0.9	-64.47	154.47
73	-0.71	-0.89	-62.4	152.4
74	-0.7	-0.87	-60.47	150.47
75	-0.68	-0.85	-58.65	148.65
76	-0.67	-0.84	-56.92	146.92
77	-0.66	-0.82	-55.26	145.26
78	-0.64	-0.81	-53.67	143.67
79	-0.63	-0.79	-52.14	142.14
80	-0.62	-0.77	-50.66	140.66
81	-0.61	-0.76	-49.23	139.23
82	-0.59	-0.74	-47.83	137.83
83	-0.58	-0.73	-46.48	136.48
84	-0.57	-0.71	-45.15	135.15
85	-0.55	-0.69	-43.86	133.86
86	-0.54	-0.68	-42.59	132.59
87	-0.53	-0.66	-41.35	131.35
88	-0.52	-0.64	-40.13	130.13
89	-0.5	-0.63	-38.93	128.93
90	-0.49	-0.61	-37.76	127.76
91	-0.48	-0.6	-36.6	126.6
92	-0.46	-0.58	-35.46	125.46
93	-0.45	-0.56	-34.33	124.33
94	-0.44	-0.55	-33.22	123.22
95	-0.43	-0.53	-32.12	122.12
96	-0.41	-0.52	-31.04	121.04
97	-0.4	-0.5	-29.97	119.97
98	-0.39	-0.48	-28.91	118.91
99	-0.37	-0.47	-27.86	117.86
100	-0.36	-0.45	-26.82	116.82
101	-0.35	-0.44	-25.79	115.79
102	-0.34	-0.42	-24.77	114.77
103	-0.32	-0.4	-23.76	113.76
104	-0.31	-0.39	-22.75	112.75
105	-0.3	-0.37	-21.75	111.75
106	-0.28	-0.35	-20.76	110.76
107	-0.27	-0.34	-19.78	109.78
108	-0.26	-0.32	-18.8	108.8
109	-0.24	-0.31	-17.83	107.83
110	-0.23	-0.29	-16.86	106.86
111	-0.22	-0.27	-15.9	105.9
112	-0.21	-0.26	-14.94	104.94
113	-0.19	-0.24	-13.99	103.99
114	-0.18	-0.23	-13.04	103.04
115	-0.17	-0.21	-12.09	102.09
116	-0.15	-0.19	-11.15	101.15
117	-0.14	-0.18	-10.21	100.21
118	-0.13	-0.16	-9.27	99.27
119	-0.12	-0.15	-8.34	98.34
120	-0.1	-0.13	-7.41	97.41
121	-0.09	-0.11	-6.48	96.48
122	-0.08	-0.1	-5.55	95.55
123	-0.06	-0.08	-4.62	94.62
124	-0.05	-0.06	-3.7	93.7
125	-0.04	-0.05	-2.77	92.77
126	-0.03	-0.03	-1.85	91.85
127	-0.01	-0.02	-0.92	90.92
128	0	0	0	90
129	0.01	0.02	0.92	89.08
130	0.03	0.03	1.85	88.15
131	0.04	0.05	2.77	87.23
132	0.05	0.06	3.7	86.3
133	0.06	0.08	4.62	85.38
134	0.08	0.1	5.55	84.45
135	0.09	0.11	6.48	83.52
136	0.1	0.13	7.41	82.59
137	0.12	0.15	8.34	81.66
138	0.13	0.16	9.27	80.73
139	0.14	0.18	10.21	79.79
140	0.15	0.19	11.15	78.85
141	0.17	0.21	12.09	77.91
142	0.18	0.23	13.04	76.96
143	0.19	0.24	13.99	76.01
144	0.21	0.26	14.94	75.06
145	0.22	0.27	15.9	74.1
146	0.23	0.29	16.86	73.14
147	0.24	0.31	17.83	72.17
148	0.26	0.32	18.8	71.2
149	0.27	0.34	19.78	70.22
150	0.28	0.35	20.76	69.24
151	0.3	0.37	21.75	68.25
152	0.31	0.39	22.75	67.25
153	0.32	0.4	23.76	66.24
154	0.34	0.42	24.77	65.23
155	0.35	0.44	25.79	64.21
156	0.36	0.45	26.82	63.18
157	0.37	0.47	27.86	62.14
158	0.39	0.48	28.91	61.09
159	0.4	0.5	29.97	60.03
160	0.41	0.52	31.04	58.96
161	0.43	0.53	32.12	57.88
162	0.44	0.55	33.22	56.78
163	0.45	0.56	34.33	55.67
164	0.46	0.58	35.46	54.54
165	0.48	0.6	36.6	53.4
166	0.49	0.61	37.76	52.24
167	0.5	0.63	38.93	51.07
168	0.52	0.64	40.13	49.87
169	0.53	0.66	41.35	48.65
170	0.54	0.68	42.59	47.41
171	0.55	0.69	43.86	46.14
172	0.57	0.71	45.15	44.85
173	0.58	0.73	46.48	43.52
174	0.59	0.74	47.83	42.17
175	0.61	0.76	49.23	40.77
176	0.62	0.77	50.66	39.34
177	0.63	0.79	52.14	37.86
178	0.64	0.81	53.67	36.33
179	0.66	0.82	55.26	34.74
180	0.67	0.84	56.92	33.08
181	0.68	0.85	58.65	31.35
182	0.7	0.87	60.47	29.53
183	0.71	0.89	62.4	27.6
184	0.72	0.9	64.47	25.53
185	0.73	0.92	66.7	23.3
186	0.75	0.93	69.16	20.84
187	0.76	0.95	71.93	18.07
188	0.77	0.97	75.19	14.81
189	0.79	0.98	79.39	10.61
190	0.8	1	87.47	2.53
